Subject,Relation,Object
坦克300,HAS_UNIT,变速箱
变速箱,UNIT_FAILURE,漏油
变速箱,UNIT_FAILURE,异响
变速箱,COMPOSED_OF,发动机
长安星卡,HAS_UNIT,变速箱
迈腾,HAS_UNIT,变速箱
奔腾X40,HAS_UNIT,燃油泵
奔腾X40,HAS_UNIT,发动机
燃油泵,UNIT_FAILURE,抖动
发动机,UNIT_FAILURE,抖动
燃油泵,COMPOSED_OF,发动机
英仕派,HAS_UNIT,发动机
发动机,UNIT_FAILURE,异响
逍客,HAS_UNIT,发动机
福克斯,HAS_UNIT,发动机
领动,HAS_UNIT,发动机
帝豪,HAS_UNIT,变速箱
帝豪,HAS_UNIT,发动机
影豹,HAS_UNIT,传感器
汉,HAS_UNIT,发动机
发动机,UNIT_FAILURE,漏油
电池,COMPOSED_OF,动力电池
长安欧尚Z6,HAS_UNIT,发动机
长安UNI-T,HAS_UNIT,变速箱
炫丽,HAS_UNIT,变速箱
电池,UNIT_FAILURE,漏油
电机,UNIT_FAILURE,漏油
电池,COMPOSED_OF,电机
卡罗拉,HAS_UNIT,变速箱
域虎7,HAS_UNIT,传感器
电池,UNIT_FAILURE,动力受限
动力电池,UNIT_FAILURE,动力受限
AION Y,HAS_UNIT,电机
变速箱,COMPOSED_OF,传感器
标致408,HAS_UNIT,变速箱
领动,HAS_UNIT,空调
奔腾T77,HAS_UNIT,发动机
宝马5系,HAS_UNIT,发动机
亚洲龙,HAS_UNIT,发动机
探岳,HAS_UNIT,发动机
长安CS75 PLUS,HAS_UNIT,发动机
探界者,HAS_UNIT,空调
宋PLUS新能源,HAS_UNIT,空调
奇骏,HAS_UNIT,变速箱
艾力绅,HAS_UNIT,变速箱
艾力绅,HAS_UNIT,电池
艾力绅,HAS_UNIT,电机
艾力绅,HAS_UNIT,发动机
变速箱,COMPOSED_OF,电池
朗逸,HAS_UNIT,发动机
朗逸,HAS_UNIT,传感器
发动机,COMPOSED_OF,传感器
奥迪Q3,HAS_UNIT,变速箱
天籁,HAS_UNIT,发动机
天籁,HAS_UNIT,空调
发动机,COMPOSED_OF,空调
长安UNI-V 智电iDD,HAS_UNIT,变速箱
AION Y,HAS_UNIT,电池
AION Y,HAS_UNIT,发动机
长安CS35 PLUS,HAS_UNIT,变速箱
长安CS35 PLUS,HAS_UNIT,发动机
蒙迪欧,HAS_UNIT,变速箱
传祺M8,HAS_UNIT,变速箱
传祺M8,HAS_UNIT,发动机
君越,HAS_UNIT,燃油泵
君越,HAS_UNIT,发动机
凯越,HAS_UNIT,发动机
凯越,HAS_UNIT,传感器
凌渡,HAS_UNIT,发动机
思域,HAS_UNIT,变速箱
帕萨特,HAS_UNIT,发动机
迈腾,HAS_UNIT,电机
凯迪拉克XT5,HAS_UNIT,变速箱
电压,FEATURE_FAILURE,无法启动
奥迪A4L,HAS_UNIT,变速箱
速腾,HAS_UNIT,发动机
速腾,HAS_UNIT,助力泵
发动机,COMPOSED_OF,助力泵
逍客,HAS_UNIT,传感器
欧蓝德,HAS_UNIT,轴承
轴承,UNIT_FAILURE,断裂
赛拉图,HAS_UNIT,轴承
冠道,HAS_UNIT,转向机
转向机,UNIT_FAILURE,异响
凯美瑞,HAS_UNIT,传感器
汉兰达,HAS_UNIT,变速箱
哥瑞,HAS_UNIT,发动机
欧马可,HAS_UNIT,传感器
宏光MINIEV,HAS_UNIT,电池
宏光MINIEV,HAS_UNIT,动力电池
AION V,HAS_UNIT,控制器
AION V,HAS_UNIT,空调
控制器,UNIT_FAILURE,异响
控制器,UNIT_FAILURE,无法启动
空调,UNIT_FAILURE,异响
空调,UNIT_FAILURE,无法启动
控制器,COMPOSED_OF,空调
五菱之光,HAS_UNIT,发动机
五菱之光,HAS_UNIT,传感器
花冠,HAS_UNIT,发动机
途观L,HAS_UNIT,发动机
飞凡R7,HAS_UNIT,电池
飞凡R7,HAS_UNIT,动力电池
艾瑞泽8,HAS_UNIT,发动机
凯美瑞,HAS_UNIT,变速箱
凯美瑞,HAS_UNIT,发动机
变速箱,UNIT_FAILURE,抖动
星越L,HAS_UNIT,发动机
星越L,HAS_UNIT,转向机
电流,FEATURE_FAILURE,熄火
雪铁龙C6,HAS_UNIT,发动机
阅朗,HAS_UNIT,变速箱
阅朗,HAS_UNIT,发动机
星越L,HAS_UNIT,电机
奇骏,HAS_UNIT,电机
奇骏,HAS_UNIT,轴承
轴承,UNIT_FAILURE,漏油
电机,COMPOSED_OF,轴承
奥迪Q5L,HAS_UNIT,变速箱
起亚K5,HAS_UNIT,发动机
起亚K5,HAS_UNIT,助力泵
缤智,HAS_UNIT,发动机
转速,FEATURE_FAILURE,抖动
宝沃BX7,HAS_UNIT,发动机
变速箱,UNIT_FAILURE,报警
电池,UNIT_FAILURE,报警
君越,HAS_UNIT,电机
君越,HAS_UNIT,传感器
君越,HAS_UNIT,转向机
电机,COMPOSED_OF,传感器
享域,HAS_UNIT,发动机
享域,HAS_UNIT,传感器
奥迪A8,HAS_UNIT,电机
卡罗拉锐放,HAS_UNIT,轴承
轴承,UNIT_FAILURE,异响
