车型,官方指导价,厂商,级别,能源类型,上市时间,发动机,纯电续航里程(km),充电时间(小时),快充电量(%),最大功率(kW),发动机最大扭矩(N·m),电动机最大扭矩(N·m),变速箱,长x宽x高(mm),车身结构,最高车速(km/h),官方百公里加速时间(s),NEDC综合油耗(L/100km),WLTC综合油耗(L/100km),百公里耗电量(kWh/100km),整车保修期限,6万公里保养总成本预估,宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),车门数(个),车门开启方式,座位数(个),整备质量(kg),最大载重质量(kg),满载质量(kg),油箱容积(L),行李舱容积(L),风阻系数(Cd),排量(mL),排量(L),进气形式,气缸排列形式,气缸数(个),每缸气门数(个),压缩比,配气机构,最大马力(Ps),最大功率转速(rpm),最大扭矩(N·m),最大扭矩转速(rpm),发动机特有技术,燃料形式,燃油标号,供油方式,缸盖材料,缸体材料,环保标准,电机类型,电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),前电动机最大功率(kW),前电动机最大扭矩(N·m),后电动机最大功率(kW),后电动机最大扭矩(N·m),系统综合功率(kW),系统综合扭矩(N·m),驱动电机数,电机布局,电池组质保,电池容量(kWh),电池能量密度(Wh/kg),电池充电,电池温度管理系统,充电桩,挡位数,变速箱类型,四驱类型,中央差速器结构,前悬挂形式,后悬挂形式,转向类型,车体结构,后制动器类型,驻车制动类型
奥迪e-tron GT 2022款 e-tron GT quattro,-,奥迪(进口),中大型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
RIVIAN R1S 2019款 基本型,-,RIVIAN,中大型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
RIVIAN R1T 2019款 基本型,-,RIVIAN,中型皮卡,null,null,null,null,-,null,null,,,null,null,两排,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
斯巴鲁XV PHEV 2019款 基本型,-,斯巴鲁,紧凑型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
长安V5 EV 2018款 顶配版,9.38万,长安跨越,微面,null,null,null,null,-,null,null,,,null,null,一排,null,null,,,,3年或6万公里,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
森雅R7 EV 2018款 EV400,17.98万,一汽吉林,小型SUV,纯电动,2018.12,,375,"快充1小时
慢充9小时",80,80(109Ps),,,电动车单速变速箱,4305x1780x1655,SUV,130,null,,,12.4,3年或10万公里,null,1780,1655,2600,1535,1535,null,5,平开门,5,1585,null,null,,null,null,,,,,,,,,,,228,,,,,,,,,永磁/同步,80,109,228,80,228,null,null,80,228,单电机,前置,待查,50.64,null,"快充1小时
慢充9小时|快充接口",null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,手刹
长安V3 EV 2018款 顶配版,7.92万,长安跨越,微面,null,null,null,null,-,null,null,,,null,null,一排,null,null,,,,3年或6万公里,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
蔚揽PHEV 2019款 GTE,30.18万,大众(进口),中型车,插电式混合动力,2018.11,1.4T 156马力 L4 插电式混动,50,"快充2.75小时
慢充6小时",100,115,,,6挡双离合,4767x1832x1501,旅行车,225,7.6,1.8,,null,3年或12万公里,null,1832,1501,2791,null,null,null,5,平开门,5,1784,null,null,50,483-1613,null,1395,1.4,涡轮增压,L,4,4,null,DOHC,156,5000-6000,250,null,null,插电式混合动力,95#,缸内直喷,铝,铝,国V,null,85,116,null,85,null,null,null,160,400,单电机,前置,8年或12万公里,9.9,null,"快充2.75小时
慢充6小时|快充接口",null,null,6,湿式双离合变速箱（DCT）,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
观致5 FCV 2019款 基本款,-,观致汽车,紧凑型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
观致3 EV 2019款 基本款,-,观致汽车,紧凑型车,null,null,null,null,-,null,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
