Index,SemanticScore
0,0.8
1,0.8
2,0.52
3,0.3
4,0.3
5,0.3
6,0.8
7,0.3
8,0.3
9,0.8
10,0.8
11,0.12
12,0.3
13,0.92
14,0.3
15,0.22
16,0.8
17,0.3
18,0.83
19,0.8
20,0.3
21,0.8
22,0.3
23,0.98
24,0.8
25,0.42
26,0.3
27,0.37
28,0.3
29,0.8
30,0.52
31,0.37
32,0.8
33,0.92
34,0.3
35,0.8
36,0.3
37,0.3
38,0.3
39,0.3
40,0.92
41,0.3
42,0.8
43,0.8
44,0.3
45,0.3
46,0.8
47,0.8
48,0.3
49,0.92
50,0.3
51,0.3
52,0.37
53,0.3
54,0.3
55,0.8
56,0.3
57,0.98
58,0.3
59,0.98
60,0.3
61,0.8
62,0.8
63,0.8
64,0.52
65,0.3
66,0.8
67,0.22
68,0.92
69,0.8
70,0.8
71,0.3
72,0.8
73,0.8
74,0.3
75,0.3
76,0.8
77,0.8
78,0.3
79,0.3
80,0.8
81,0.83
82,0.8
83,0.22
84,0.22
85,0.83
86,0.3
87,0.8
88,0.22
89,0.8
90,0.8
91,0.3
92,0.3
93,0.8
94,0.8
95,0.3
96,0.3
97,0.37
98,0.8
99,0.3
100,0.8
101,0.8
102,0.3
103,0.3
104,0.3
105,0.3
106,0.22
107,0.52
108,0.3
109,0.3
110,0.3
111,0.8
112,0.3
113,0.8
114,0.8
115,0.3
116,0.8
117,0.8
118,0.3
119,0.8
120,0.8
121,0.8
122,0.3
123,0.3
124,0.8
125,0.8
126,0.22
127,0.8
128,0.83
129,0.8
130,0.8
131,0.8
132,0.98
133,0.8
134,0.8
135,0.3
136,0.8
137,0.3
138,0.8
139,0.3
140,0.8
141,0.12
142,0.12
143,0.8
144,0.92
145,0.8
146,0.8
147,0.3
148,0.83
149,0.92
150,0.12
151,0.22
152,0.83
153,0.8
154,0.8
155,0.52
156,0.3
157,0.3
158,0.52
159,0.37
160,0.22
161,0.8
162,0.3
163,0.22
164,0.8
165,0.8
166,0.3
167,0.8
168,0.3
169,0.52
170,0.8
171,0.83
172,0.8
173,0.8
174,0.3
175,0.8
176,0.3
177,0.3
178,0.3
179,0.8
180,0.8
181,0.8
182,0.3
183,0.8
184,0.8
185,0.3
186,0.98
187,0.3
188,0.92
189,0.92
190,0.3
191,0.3
192,0.8
193,0.22
194,0.8
195,0.3
196,0.8
197,0.8
198,0.22
199,0.3
