Entity1,Entity2,GroundTruth
刹车片,制动片,1
后保险杠,后杠,1
后保险杠,后杠,1
机滤,波箱,0
漏油,三元催化器,0
空滤,转向拉杆球头,0
减震器,减震,1
机油滤清器,进排气门,0
机油滤清器,空气滤清器,0
传动半轴,半轴,1
前杠,前保险杠,1
低压线束,高压线束,0
发电机,漏水,0
球头,转向拉杆球头,1
机油滤清器,空气滤清器,0
前减震器,减震,0
前保险杠,前杠,1
张紧器,分动箱,0
空气滤清器,空滤,1
O2传感器,氧传感器,1
点火线圈,发动机异响,0
催化转化器,三元催化器,1
蓄电池,发动机异响,0
冷却液温度高,水温高,1
后保险杠,后杠,1
皮带张紧器,张紧器,1
空滤,空气滤清器,1
减震器,减震,1
三元锂电池,刹车盘,0
冷凝器,排气歧管,0
O2传感器,氧传感器,1
减震器,减震,1
离合器打滑,离合器失效,1
球头,转向拉杆球头,1
底盘异响,刹车盘,0
排气歧管,空滤,0
球头,机滤,0
气门,半轴,0
O2传感器,转向机,0
仪表盘,组合仪表,1
转向拉杆球头,球头,1
减震器,后减震器,0
前保险杠,前杠,1
O2传感器,氧传感器,1
发动机异响,离合器打滑,0
前减震器,减震器,0
前保险杠,前杠,1
前保险杠,前杠,1
传动半轴,电瓶,0
转向拉杆球头,球头,1
波箱,空滤,0
排气歧管,传动半轴,0
减震器,减震,1
水温高,气门,0
底盘异响,进气歧管,0
传动半轴,半轴,1
低压线束,雨刮电机,0
水温高,冷却液温度高,1
蓄电池,高压线束,0
水温高,冷却液温度高,1
刹车盘,水温报警,0
波箱,变速箱,1
张紧器,皮带张紧器,1
半轴,传动半轴,1
前杠,前保险杠,1
断裂,左前轮,0
离合器打滑,离合器失效,1
前减震器,减震,0
转向拉杆球头,球头,1
漏水,进排气门,0
催化转化器,三元催化器,1
组合仪表,前杠,0
后保险杠,三元催化器,0
皮带张紧器,张紧器,1
O2传感器,半轴,0
三元催化器,空滤,0
离合器打滑,离合器失效,1
转向机,漏油,0
发动机,空调风扇,0
张紧器,波箱,0
半轴,传动半轴,1
机油滤清器,机滤,1
离合器打滑,离合器失效,1
BMS,ABS,0
减震,前减震器,0
空气滤清器,空滤,1
高压线束,雨刮电机,0
催化转化器,三元催化器,1
发动机,发电机,0
张紧器,皮带张紧器,1
张紧器,皮带张紧器,1
半轴,点火线圈,0
波箱,皮带张紧器,0
皮带张紧器,张紧器,1
张紧器,皮带张紧器,1
减震器,后减震器,0
冷却液温度高,点火线圈,0
减震器,减震,1
皮带张紧器,张紧器,1
离合器失效,冷凝器,0
前杠,前保险杠,1
传动半轴,半轴,1
发动机异响,张紧器,0
氧传感器,离合器失效,0
进排气门,机滤,0
发动机异响,进气歧管,0
前保险杠,前杠,1
催化转化器,三元催化器,1
空气滤清器,ABS,0
刹车盘,冷却风扇,0
断裂,发电机,0
进排气门,气门,1
前减震器,减震器,0
前杠,ABS,0
催化转化器,三元催化器,1
排气歧管,冷却液,0
张紧器,皮带张紧器,1
前保险杠,前杠,1
ABS,底盘异响,0
半轴,传动半轴,1
离合器失效,离合器打滑,1
发动机,张紧器,0
冷却液,半轴,0
后减震器,转向拉杆球头,0
前杠,前保险杠,1
离合器失效,离合器打滑,1
BMS,ABS,0
O2传感器,水温报警,0
空气滤清器,空滤,1
离合器失效,离合器打滑,1
空气滤清器,半轴,0
半轴,传动半轴,1
冷却液温度高,水温高,1
右前轮,冷却液温度高,0
O2传感器,氧传感器,1
三元锂电池,转向机,0
O2传感器,氧传感器,1
传动半轴,O2传感器,0
半轴,传动半轴,1
断裂,空调风扇,0
前保险杠,后保险杠,0
高压线束,低压线束,0
发动机异响,发动机,0
张紧器,皮带张紧器,1
球头,转向拉杆球头,1
催化转化器,三元催化器,1
前杠,前保险杠,1
点火线圈,断裂,0
机油滤清器,机滤,1
球头,转向拉杆球头,1
后减震器,前减震器,0
减震,前减震器,0
机滤,机油滤清器,1
减震器,减震,1
传动半轴,半轴,1
氧传感器,O2传感器,1
张紧器,传动半轴,0
火花塞,空调风扇,0
前杠,前保险杠,1
减震器,减震,1
发动机,发电机,0
水温高,火花塞,0
排气歧管,转向拉杆球头,0
发电机,发动机,0
传动半轴,半轴,1
半轴,传动半轴,1
催化转化器,方向机,0
氧传感器,O2传感器,1
前减震器,减震器,0
前保险杠,前杠,1
半轴,传动半轴,1
空气滤清器,空滤,1
半轴,传动半轴,1
后保险杠,后杠,1
气门,空调风扇,0
前减震器,减震器,0
电瓶,点火线圈,0
离合器打滑,离合器失效,1
组合仪表,半轴,0
减震器,后减震器,0
前保险杠,前杠,1
催化转化器,三元催化器,1
机滤,前保险杠,0
球头,发动机,0
转向拉杆球头,左前轮,0
球头,冷却液,0
冷却液温度高,水温高,1
球头,转向机,0
转向拉杆球头,球头,1
转向拉杆球头,球头,1
空滤,左前轮,0
前减震器,减震器,0
传动半轴,半轴,1
减震,前减震器,0
氧传感器,O2传感器,1
O2传感器,断裂,0
氧传感器,O2传感器,1
变速箱,波箱,1
冷却液,冷冻液,0
发电机,冷却风扇,0
